row_id,category,metric,case,mecanum_4_motor,differential_4_motor,differential_2_motor,unit,status,boundary
DRV-013,operating_point,electrical power at equal force and speed,"30 N at 1.0 m/s, ideal 104 mm wheel",62.4699,62.4699,70.0650,W,CALCULATED_LINEAR_MOTOR_MODEL,Excludes external drivetrain losses; required voltage must not exceed 12 V
DRV-014,operating_point,electrical power at equal force and speed,"40 N at 1.0 m/s, ideal 104 mm wheel",85.8691,85.8691,INFEASIBLE_12.29V,W,CALCULATED_LINEAR_MOTOR_MODEL,Excludes external drivetrain losses; required voltage must not exceed 12 V
DRV-015,transient,ideal 1 m straight sprint,8 kg robot,0.6627,0.6627,0.7358,s,CALCULATED_IDEAL_SENSITIVITY,"No traction cap, losses, battery sag, or current limiting"
DRV-016,transient,ideal 1 m straight sprint,12 kg robot,0.6996,0.6996,0.8051,s,CALCULATED_IDEAL_SENSITIVITY,"No traction cap, losses, battery sag, or current limiting"
DRV-017,transient,ideal 1 m straight sprint,16 kg robot,0.7358,0.7358,0.8694,s,CALCULATED_IDEAL_SENSITIVITY,"No traction cap, losses, battery sag, or current limiting"
DRV-018,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.300 m, lateral 0.25 m",0.3466,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-019,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.300 m, lateral 0.50 m",0.5148,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-020,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.300 m, lateral 1.00 m",0.6797,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-021,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.375 m, lateral 0.25 m",0.2980,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-022,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.375 m, lateral 0.50 m",0.4591,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-023,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.375 m, lateral 1.00 m",0.6293,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-024,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.450 m, lateral 0.25 m",0.2613,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-025,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.450 m, lateral 0.50 m",0.4143,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
DRV-026,maneuver,mecanum strafe-speed fraction needed to beat differential rotate-drive-rotate,"track 0.450 m, lateral 1.00 m",0.5859,N/A_NO_STRAFE,N/A_NO_STRAFE,fraction_of_forward_speed,CALCULATED_IDEAL_KINEMATICS,Same forward speed; final heading preserved; excludes acceleration and turn scrub
